ID,Tamanho_bp,Descrição,Conteudo_GC
AB036353.1.38.undefined.HC5B.593,593,AB036353.1.38.undefined.HC5B.593,59.02
AB036354.1.39.undefined.HC7B.603,603,AB036354.1.39.undefined.HC7B.603,59.54
AB036355.1.40.undefined.HAM1.1079,1079,AB036355.1.40.undefined.HAM1.1079,53.66
AB036356.1.41.undefined.HAM17.1079,1079,AB036356.1.41.undefined.HAM17.1079,53.38
AB036357.1.42.undefined.HAM20.1079,1079,AB036357.1.42.undefined.HAM20.1079,53.48
AB036358.1.43.undefined.HAM28.1079,1079,AB036358.1.43.undefined.HAM28.1079,53.38
AB036359.1.44.undefined.HAM3.1079,1079,AB036359.1.44.undefined.HAM3.1079,53.66
AB036360.1.45.undefined.HAM32.1080,1080,AB036360.1.45.undefined.HAM32.1080,53.43
AB036361.1.46.undefined.HAM38.1079,1079,AB036361.1.46.undefined.HAM38.1079,53.57
AB036362.1.47.undefined.HAM284.1079,1079,AB036362.1.47.undefined.HAM284.1079,53.38
AB036363.1.48.undefined.HAM4.1079,1079,AB036363.1.48.undefined.HAM4.1079,53.66
AB036364.1.49.undefined.HAM3.1079,1079,AB036364.1.49.undefined.HAM3.1079,53.48
AB036365.1.50.undefined.HAM5.1079,1079,AB036365.1.50.undefined.HAM5.1079,53.57
AB036366.1.51.undefined.HAM6.1079,1079,AB036366.1.51.undefined.HAM6.1079,53.66
AB036367.1.52.undefined.HAM64.1080,1080,AB036367.1.52.undefined.HAM64.1080,53.43
AB036368.1.53.undefined.HAM66.1079,1079,AB036368.1.53.undefined.HAM66.1079,53.57
AB036369.1.54.undefined.HAM7.1080,1080,AB036369.1.54.undefined.HAM7.1080,53.43
AB036370.1.55.undefined.HAM8.1079,1079,AB036370.1.55.undefined.HAM8.1079,53.66
AB036371.1.56.undefined.HAM9.1079,1079,AB036371.1.56.undefined.HAM9.1079,53.75
AB036372.1.57.undefined.ATL10.1079,1079,AB036372.1.57.undefined.ATL10.1079,53.66
AB036373.1.58.undefined.ATL13.1079,1079,AB036373.1.58.undefined.ATL13.1079,53.75
AB036374.1.59.undefined.ATL14.1079,1079,AB036374.1.59.undefined.ATL14.1079,53.48
AB036375.1.60.undefined.ATL15.1079,1079,AB036375.1.60.undefined.ATL15.1079,53.66
AB036376.1.61.undefined.ATL150.1079,1079,AB036376.1.61.undefined.ATL150.1079,53.57
AB036377.1.62.undefined.ATL2.1079,1079,AB036377.1.62.undefined.ATL2.1079,53.75
AB036378.1.63.undefined.ATL272.1080,1080,AB036378.1.63.undefined.ATL272.1080,53.33
AB036379.1.64.undefined.ATL4.1079,1079,AB036379.1.64.undefined.ATL4.1079,53.48
AB036380.1.65.undefined.ATL5.1079,1079,AB036380.1.65.undefined.ATL5.1079,53.75
AB036381.1.66.undefined.ATL7.1079,1079,AB036381.1.66.undefined.ATL7.1079,53.94
AB036382.1.67.undefined.ATL8.1079,1079,AB036382.1.67.undefined.ATL8.1079,53.48
AB036383.1.68.undefined.ATL9.1079,1079,AB036383.1.68.undefined.ATL9.1079,53.66
AB036384.1.69.undefined.HC1020.1079,1079,AB036384.1.69.undefined.HC1020.1079,53.57
AB036385.1.70.undefined.HC1098.1079,1079,AB036385.1.70.undefined.HC1098.1079,53.57
AB036386.1.71.undefined.HC29.1079,1079,AB036386.1.71.undefined.HC29.1079,53.66
AB036387.1.72.undefined.HC33.1079,1079,AB036387.1.72.undefined.HC33.1079,53.66
AB036388.1.73.undefined.HC40.1080,1080,AB036388.1.73.undefined.HC40.1080,53.43
AB036389.1.74.undefined.HC44.1079,1079,AB036389.1.74.undefined.HC44.1079,53.85
AB036390.1.75.undefined.HC47.1079,1079,AB036390.1.75.undefined.HC47.1079,53.85
AB036391.1.76.undefined.HC5.1079,1079,AB036391.1.76.undefined.HC5.1079,53.66
AB036392.1.77.undefined.HC57.1080,1080,AB036392.1.77.undefined.HC57.1080,53.43
AB036393.1.78.undefined.HC66.1080,1080,AB036393.1.78.undefined.HC66.1080,53.52
AB036394.1.79.undefined.HC7.1079,1079,AB036394.1.79.undefined.HC7.1079,53.66
AB036395.1.80.undefined.HC70.1080,1080,AB036395.1.80.undefined.HC70.1080,53.52
AB038239.1.81.undefined.-.1062,1062,AB038239.1.81.undefined.-.1062,53.39
AB045399.1.82.undefined.ATL12.1072,1072,AB045399.1.82.undefined.ATL12.1072,53.82
AB045400.1.83.undefined.ATL17.1072,1072,AB045400.1.83.undefined.ATL17.1072,53.73
AB045401.1.84.undefined.ATL19.1072,1072,AB045401.1.84.undefined.ATL19.1072,53.73
AB045402.1.85.undefined.ATL20.1072,1072,AB045402.1.85.undefined.ATL20.1072,53.92
AB045403.1.86.undefined.ATL21.1072,1072,AB045403.1.86.undefined.ATL21.1072,53.82
AB045404.1.87.undefined.ATL22.1072,1072,AB045404.1.87.undefined.ATL22.1072,53.64
AB045405.1.88.undefined.ATL24.1072,1072,AB045405.1.88.undefined.ATL24.1072,53.73
AB045406.1.89.undefined.ATL25.1072,1072,AB045406.1.89.undefined.ATL25.1072,53.92
AB045407.1.90.undefined.ATL27.1072,1072,AB045407.1.90.undefined.ATL27.1072,53.82
AB045408.1.91.undefined.ATL36.1072,1072,AB045408.1.91.undefined.ATL36.1072,53.54
AB045409.1.92.undefined.ATL41.1072,1072,AB045409.1.92.undefined.ATL41.1072,53.82
AB045410.1.93.undefined.ATL46.1072,1072,AB045410.1.93.undefined.ATL46.1072,53.73
AB045411.1.94.undefined.ATL48.1072,1072,AB045411.1.94.undefined.ATL48.1072,53.73
AB045412.1.95.undefined.ATL52.1072,1072,AB045412.1.95.undefined.ATL52.1072,53.73
AB045413.1.96.undefined.ATL54.1072,1072,AB045413.1.96.undefined.ATL54.1072,53.82
AB045414.1.97.undefined.ATL58.1072,1072,AB045414.1.97.undefined.ATL58.1072,53.54
AB045415.1.98.undefined.ATL59.1072,1072,AB045415.1.98.undefined.ATL59.1072,53.82
AB045416.1.99.undefined.ATL64.1072,1072,AB045416.1.99.undefined.ATL64.1072,53.82
AB045417.1.100.undefined.ATL65.1072,1072,AB045417.1.100.undefined.ATL65.1072,53.82
AB045418.1.101.undefined.ATL67.1072,1072,AB045418.1.101.undefined.ATL67.1072,53.54
AB045419.1.102.undefined.ATL68.1072,1072,AB045419.1.102.undefined.ATL68.1072,53.64
AB045420.1.103.undefined.ATL71.1072,1072,AB045420.1.103.undefined.ATL71.1072,53.82
AB045421.1.104.undefined.ATL73.1072,1072,AB045421.1.104.undefined.ATL73.1072,53.64
AB045422.1.105.undefined.ATL74.1072,1072,AB045422.1.105.undefined.ATL74.1072,53.82
AB045423.1.106.undefined.ATL75.1072,1072,AB045423.1.106.undefined.ATL75.1072,53.82
AB045424.1.107.undefined.ATL77.1072,1072,AB045424.1.107.undefined.ATL77.1072,53.82
AB045425.1.108.undefined.ATL86.1072,1072,AB045425.1.108.undefined.ATL86.1072,53.64
AB045426.1.109.undefined.ATL89.1072,1072,AB045426.1.109.undefined.ATL89.1072,53.82
AB045427.1.110.undefined.ATL113.1072,1072,AB045427.1.110.undefined.ATL113.1072,53.92
AB045428.1.111.undefined.ATL146.1072,1072,AB045428.1.111.undefined.ATL146.1072,53.73
AB045429.1.112.undefined.ATL166.1072,1072,AB045429.1.112.undefined.ATL166.1072,53.82
AB045430.1.113.undefined.ATL168.145,145,AB045430.1.113.undefined.ATL168.145,51.72
AB045431.1.114.undefined.ATL258.182,182,AB045431.1.114.undefined.ATL258.182,52.2
AB045432.1.115.undefined.ATL259.1072,1072,AB045432.1.115.undefined.ATL259.1072,53.82
AB045433.1.116.undefined.ATL260.1072,1072,AB045433.1.116.undefined.ATL260.1072,53.82
AB045434.1.117.undefined.ATL261.1072,1072,AB045434.1.117.undefined.ATL261.1072,53.73
AB045435.1.118.undefined.ATL264.1072,1072,AB045435.1.118.undefined.ATL264.1072,53.92
AB045436.1.119.undefined.ATL269.1072,1072,AB045436.1.119.undefined.ATL269.1072,53.82
AB045437.1.120.undefined.ATL270.1072,1072,AB045437.1.120.undefined.ATL270.1072,53.82
AB045438.1.121.undefined.ATL271.1072,1072,AB045438.1.121.undefined.ATL271.1072,53.82
AB045439.1.122.undefined.ATL274.1072,1072,AB045439.1.122.undefined.ATL274.1072,53.82
AB045440.1.123.undefined.ATL275.1072,1072,AB045440.1.123.undefined.ATL275.1072,53.82
AB045441.1.124.undefined.ATL286.1072,1072,AB045441.1.124.undefined.ATL286.1072,53.73
AB045442.1.125.undefined.HAM10.1072,1072,AB045442.1.125.undefined.HAM10.1072,53.92
AB045443.1.126.undefined.HAM11.1072,1072,AB045443.1.126.undefined.HAM11.1072,53.82
AB045444.1.127.undefined.HAM13.1072,1072,AB045444.1.127.undefined.HAM13.1072,53.82
AB045445.1.128.undefined.HAM14.1072,1072,AB045445.1.128.undefined.HAM14.1072,53.82
AB045446.1.129.undefined.HAM25.1072,1072,AB045446.1.129.undefined.HAM25.1072,53.82
AB045447.1.130.undefined.HAM26.1072,1072,AB045447.1.130.undefined.HAM26.1072,53.82
AB045448.1.131.undefined.HAM29.1072,1072,AB045448.1.131.undefined.HAM29.1072,53.82
AB045449.1.132.undefined.HAM35.1072,1072,AB045449.1.132.undefined.HAM35.1072,53.82
AB045450.1.133.undefined.HAM36.1072,1072,AB045450.1.133.undefined.HAM36.1072,53.82
AB045451.1.134.undefined.HAM40.1072,1072,AB045451.1.134.undefined.HAM40.1072,53.82
AB045452.1.135.undefined.HAM42.1072,1072,AB045452.1.135.undefined.HAM42.1072,53.82
AB045453.1.136.undefined.HAM44.1072,1072,AB045453.1.136.undefined.HAM44.1072,53.82
AB045454.1.137.undefined.HAM45.1072,1072,AB045454.1.137.undefined.HAM45.1072,53.82
AB045455.1.138.undefined.HAM46.1072,1072,AB045455.1.138.undefined.HAM46.1072,53.82
AB045456.1.139.undefined.HAM48.1072,1072,AB045456.1.139.undefined.HAM48.1072,53.82
AB045457.1.140.undefined.HAM52.1072,1072,AB045457.1.140.undefined.HAM52.1072,53.82
AB045458.1.141.undefined.HAM53.1072,1072,AB045458.1.141.undefined.HAM53.1072,53.82
AB045459.1.142.undefined.HAM54.1072,1072,AB045459.1.142.undefined.HAM54.1072,53.82
AB045460.1.143.undefined.HAM57.1072,1072,AB045460.1.143.undefined.HAM57.1072,53.82
AB045461.1.144.undefined.HAM58.1072,1072,AB045461.1.144.undefined.HAM58.1072,53.82
AB045462.1.145.undefined.HAM59.1072,1072,AB045462.1.145.undefined.HAM59.1072,53.82
AB045463.1.146.undefined.HAM62.1072,1072,AB045463.1.146.undefined.HAM62.1072,53.82
AB045464.1.147.undefined.HAM63.1072,1072,AB045464.1.147.undefined.HAM63.1072,53.82
AB045465.1.148.undefined.HAM67.1072,1072,AB045465.1.148.undefined.HAM67.1072,53.82
AB045466.1.149.undefined.HAM12.1072,1072,AB045466.1.149.undefined.HAM12.1072,53.73
AB045467.1.150.undefined.HAM15.1072,1072,AB045467.1.150.undefined.HAM15.1072,53.73
AB045468.1.151.undefined.HAM16.1072,1072,AB045468.1.151.undefined.HAM16.1072,53.92
AB045469.1.152.undefined.HAM18.1072,1072,AB045469.1.152.undefined.HAM18.1072,53.64
AB045470.1.153.undefined.HAM19.1072,1072,AB045470.1.153.undefined.HAM19.1072,53.73
AB045471.1.154.undefined.HAM21.1072,1072,AB045471.1.154.undefined.HAM21.1072,53.92
AB045472.1.155.undefined.HAM23.1072,1072,AB045472.1.155.undefined.HAM23.1072,53.73
AB045473.1.156.undefined.HAM24.1072,1072,AB045473.1.156.undefined.HAM24.1072,54.01
AB045474.1.157.undefined.HAM27.1072,1072,AB045474.1.157.undefined.HAM27.1072,53.54
AB045475.1.158.undefined.HAM30.1072,1072,AB045475.1.158.undefined.HAM30.1072,53.92
AB045476.1.159.undefined.HAM31.1072,1072,AB045476.1.159.undefined.HAM31.1072,53.82
AB045477.1.160.undefined.HAM33.1072,1072,AB045477.1.160.undefined.HAM33.1072,53.82
AB045478.1.161.undefined.HAM34.1072,1072,AB045478.1.161.undefined.HAM34.1072,53.73
AB045479.1.162.undefined.HAM47.1072,1072,AB045479.1.162.undefined.HAM47.1072,53.92
AB045480.1.163.undefined.HAM49.1072,1072,AB045480.1.163.undefined.HAM49.1072,53.73
AB045481.1.164.undefined.HAM50.1072,1072,AB045481.1.164.undefined.HAM50.1072,53.73
AB045482.1.165.undefined.HAM55.1072,1072,AB045482.1.165.undefined.HAM55.1072,53.64
AB045483.1.166.undefined.HAM56.1072,1072,AB045483.1.166.undefined.HAM56.1072,53.73
AB045484.1.167.undefined.HAM60.1072,1072,AB045484.1.167.undefined.HAM60.1072,53.82
AB045485.1.168.undefined.HAM61.1072,1072,AB045485.1.168.undefined.HAM61.1072,53.82
AB045486.1.169.undefined.HC6.1072,1072,AB045486.1.169.undefined.HC6.1072,53.92
AB045487.1.170.undefined.HC42.1072,1072,AB045487.1.170.undefined.HC42.1072,53.82
AB045488.1.171.undefined.HC90.1072,1072,AB045488.1.171.undefined.HC90.1072,53.82
AB045489.1.172.undefined.HC60.1072,1072,AB045489.1.172.undefined.HC60.1072,53.82
AB045490.1.173.undefined.HC95.1072,1072,AB045490.1.173.undefined.HC95.1072,53.92
AB045491.1.174.undefined.HC69.1072,1072,AB045491.1.174.undefined.HC69.1072,53.82
AB045492.1.175.undefined.HC73.1072,1072,AB045492.1.175.undefined.HC73.1072,53.82
AB045493.1.176.undefined.HC94.1072,1072,AB045493.1.176.undefined.HC94.1072,53.82
AB045494.1.177.undefined.HC114.1072,1072,AB045494.1.177.undefined.HC114.1072,53.82
AB045495.1.178.undefined.HC124.1072,1072,AB045495.1.178.undefined.HC124.1072,53.82
AB045496.1.179.undefined.HC134.1072,1072,AB045496.1.179.undefined.HC134.1072,53.82
AB045497.1.180.undefined.HC148.1072,1072,AB045497.1.180.undefined.HC148.1072,53.82
AB045498.1.181.undefined.HC150.1072,1072,AB045498.1.181.undefined.HC150.1072,53.82
AB045499.1.182.undefined.HC151.1072,1072,AB045499.1.182.undefined.HC151.1072,53.82
AB045500.1.183.undefined.HC157.1072,1072,AB045500.1.183.undefined.HC157.1072,53.82
AB045501.1.184.undefined.HC160.1072,1072,AB045501.1.184.undefined.HC160.1072,53.82
AB045502.1.185.undefined.HC162.1072,1072,AB045502.1.185.undefined.HC162.1072,53.82
AB045503.1.186.undefined.HC165.1072,1072,AB045503.1.186.undefined.HC165.1072,53.82
AB045504.1.187.undefined.HC229.1072,1072,AB045504.1.187.undefined.HC229.1072,53.82
AB045505.1.188.undefined.HC1226.1072,1072,AB045505.1.188.undefined.HC1226.1072,53.82
AB045506.1.189.undefined.HC1227.1072,1072,AB045506.1.189.undefined.HC1227.1072,53.82
AB045507.1.190.undefined.HC64.1072,1072,AB045507.1.190.undefined.HC64.1072,53.73
AB045508.1.191.undefined.HC75.1072,1072,AB045508.1.191.undefined.HC75.1072,53.82
AB045509.1.192.undefined.HC91.1072,1072,AB045509.1.192.undefined.HC91.1072,53.73
AB045510.1.193.undefined.HC98.1072,1072,AB045510.1.193.undefined.HC98.1072,53.92
AB045511.1.194.undefined.HC100.1072,1072,AB045511.1.194.undefined.HC100.1072,53.73
AB045512.1.195.undefined.HC101.1072,1072,AB045512.1.195.undefined.HC101.1072,53.73
AB045513.1.196.undefined.HC102.1072,1072,AB045513.1.196.undefined.HC102.1072,53.64
AB045514.1.197.undefined.HC112.1072,1072,AB045514.1.197.undefined.HC112.1072,53.82
AB045515.1.198.undefined.HC119.1072,1072,AB045515.1.198.undefined.HC119.1072,53.82
AB045516.1.199.undefined.HC125.1072,1072,AB045516.1.199.undefined.HC125.1072,53.82
AB045517.1.200.undefined.HC128.1072,1072,AB045517.1.200.undefined.HC128.1072,53.82
AB045518.1.201.undefined.HC129.1072,1072,AB045518.1.201.undefined.HC129.1072,53.73
AB045519.1.202.undefined.HC137.1072,1072,AB045519.1.202.undefined.HC137.1072,53.92
AB045520.1.203.undefined.HC139.1072,1072,AB045520.1.203.undefined.HC139.1072,53.73
AB045521.1.204.undefined.HC141.1072,1072,AB045521.1.204.undefined.HC141.1072,53.82
AB045522.1.205.undefined.HC142.1072,1072,AB045522.1.205.undefined.HC142.1072,53.82
AB045523.1.206.undefined.HC152.1072,1072,AB045523.1.206.undefined.HC152.1072,53.92
AB045524.1.207.undefined.HC155.1072,1072,AB045524.1.207.undefined.HC155.1072,53.92
AB045525.1.208.undefined.HC156.1072,1072,AB045525.1.208.undefined.HC156.1072,53.73
AB045526.1.209.undefined.HC159.1072,1072,AB045526.1.209.undefined.HC159.1072,53.92
AB045527.1.210.undefined.HC230.1072,1072,AB045527.1.210.undefined.HC230.1072,53.73
AB045528.1.211.undefined.HC232.1072,1072,AB045528.1.211.undefined.HC232.1072,53.82
AB045529.1.212.undefined.HC234.1072,1072,AB045529.1.212.undefined.HC234.1072,54.01
AB045530.1.213.undefined.HC1229.1072,1072,AB045530.1.213.undefined.HC1229.1072,53.82
AB045531.1.214.undefined.HC1225.1072,1072,AB045531.1.214.undefined.HC1225.1072,53.92
AB045532.1.215.undefined.HC35.844,844,AB045532.1.215.undefined.HC35.844,52.96
AB045533.1.216.undefined.HC20.1070,1070,AB045533.1.216.undefined.HC20.1070,53.83
AB045534.1.217.undefined.HC117.1073,1073,AB045534.1.217.undefined.HC117.1073,53.87
AB045535.1.218.undefined.HC34-20.1071,1071,AB045535.1.218.undefined.HC34-20.1071,53.69
AB045536.1.219.undefined.HC34-25.1071,1071,AB045536.1.219.undefined.HC34-25.1071,53.69
AB045537.1.220.undefined.HC34-1.1072,1072,AB045537.1.220.undefined.HC34-1.1072,53.82
AB045538.1.221.undefined.HC34-2.1072,1072,AB045538.1.221.undefined.HC34-2.1072,53.82
AB045539.1.222.undefined.HC34-3.1072,1072,AB045539.1.222.undefined.HC34-3.1072,53.82
AB045540.1.223.undefined.HC34-4.1072,1072,AB045540.1.223.undefined.HC34-4.1072,53.73
AB045541.1.224.undefined.HC34-5.1072,1072,AB045541.1.224.undefined.HC34-5.1072,54.01
AB045542.1.225.undefined.HC34-6.1072,1072,AB045542.1.225.undefined.HC34-6.1072,53.73
AB045543.1.226.undefined.HC34-7.1072,1072,AB045543.1.226.undefined.HC34-7.1072,53.92
AB045544.1.227.undefined.HC34-8.1072,1072,AB045544.1.227.undefined.HC34-8.1072,53.73
AB045545.1.228.undefined.HC34-9.1072,1072,AB045545.1.228.undefined.HC34-9.1072,53.92
AB045546.1.229.undefined.HC34-10.1072,1072,AB045546.1.229.undefined.HC34-10.1072,53.92
AB045547.1.230.undefined.HC34-11.1072,1072,AB045547.1.230.undefined.HC34-11.1072,53.82
AB045548.1.231.undefined.HC34-12.1072,1072,AB045548.1.231.undefined.HC34-12.1072,53.92
AB045549.1.232.undefined.HC34-13.1072,1072,AB045549.1.232.undefined.HC34-13.1072,53.82
AB045550.1.233.undefined.HC34-14.1072,1072,AB045550.1.233.undefined.HC34-14.1072,53.73
AB045551.1.234.undefined.HC34-15.1072,1072,AB045551.1.234.undefined.HC34-15.1072,53.73
AB045552.1.235.undefined.HC34-16.1072,1072,AB045552.1.235.undefined.HC34-16.1072,53.73
AB045553.1.236.undefined.HC34-17.1072,1072,AB045553.1.236.undefined.HC34-17.1072,53.73
AB045554.1.237.undefined.HC34-18.1072,1072,AB045554.1.237.undefined.HC34-18.1072,53.73
AB045555.1.238.undefined.HC34-19.1072,1072,AB045555.1.238.undefined.HC34-19.1072,53.82
AB045556.1.239.undefined.HC34-21.1072,1072,AB045556.1.239.undefined.HC34-21.1072,53.82
AB045557.1.240.undefined.HC34-22.1072,1072,AB045557.1.240.undefined.HC34-22.1072,53.73
AB045558.1.241.undefined.HC34-23.1072,1072,AB045558.1.241.undefined.HC34-23.1072,53.82
AB045559.1.242.undefined.HC34-24.1072,1072,AB045559.1.242.undefined.HC34-24.1072,53.82
AB045632.1.243.undefined.Son,1072,AB045632.1.243.undefined.Son of HAM9.1072,53.92
AB045633.1.244.undefined.Son,1072,AB045633.1.244.undefined.Son of HAM10.1072,53.92
AB045634.1.245.undefined.Wife,1072,AB045634.1.245.undefined.Wife of HAM19.1072,53.73
AB045635.1.246.undefined.Sister,1072,AB045635.1.246.undefined.Sister of HAM24.1072,54.01
AB045636.1.247.undefined.Sister,1072,AB045636.1.247.undefined.Sister of HAM34 (1).1072,53.73
AB045637.1.248.undefined.Sister,1072,AB045637.1.248.undefined.Sister of HAM34 (2).1072,53.73
AB045638.1.249.undefined.Husband,1072,AB045638.1.249.undefined.Husband of HAM39.1072,53.54
AB045639.1.250.undefined.Mother,1072,AB045639.1.250.undefined.Mother of ATL36.1072,53.64
AB045640.1.251.undefined.Sister,1072,AB045640.1.251.undefined.Sister of ATL36.1072,53.64
AB045641.1.252.undefined.HAM5,1072,AB045641.1.252.undefined.HAM5 .1072,53.73
AB045642.1.253.undefined.HAM15,1072,AB045642.1.253.undefined.HAM15 .1072,53.73
AB045643.1.254.undefined.HAM49,1072,AB045643.1.254.undefined.HAM49 .1072,53.73
AB045644.1.255.undefined.HAM61.1072,1072,AB045644.1.255.undefined.HAM61.1072,53.82
AB127436.1.256.undefined.HAM31.399,399,AB127436.1.256.undefined.HAM31.399,57.39
AB127437.1.257.undefined.HAM47.399,399,AB127437.1.257.undefined.HAM47.399,57.39
AB127438.1.258.undefined.HAM67.399,399,AB127438.1.258.undefined.HAM67.399,57.39
AB127439.1.259.undefined.HAM57.399,399,AB127439.1.259.undefined.HAM57.399,57.14
AB127440.1.260.undefined.HAM68.399,399,AB127440.1.260.undefined.HAM68.399,57.39
AB127441.1.261.undefined.HAM69.399,399,AB127441.1.261.undefined.HAM69.399,57.39
AB127442.1.262.undefined.HAM70.399,399,AB127442.1.262.undefined.HAM70.399,57.39
AB127443.1.263.undefined.HAM71.399,399,AB127443.1.263.undefined.HAM71.399,57.39
AB127444.1.264.undefined.HAM73.399,399,AB127444.1.264.undefined.HAM73.399,57.39
AB127445.1.265.undefined.HAM74.399,399,AB127445.1.265.undefined.HAM74.399,57.14
AB127446.1.266.undefined.HAM75.399,399,AB127446.1.266.undefined.HAM75.399,57.39
AB127447.1.267.undefined.HAM79.399,399,AB127447.1.267.undefined.HAM79.399,57.14
AB127448.1.268.undefined.HAM83.399,399,AB127448.1.268.undefined.HAM83.399,57.39
AB127449.1.269.undefined.HAM84.399,399,AB127449.1.269.undefined.HAM84.399,57.39
AB127450.1.270.undefined.HAM85.399,399,AB127450.1.270.undefined.HAM85.399,57.39
AB127451.1.271.undefined.HAM90.399,399,AB127451.1.271.undefined.HAM90.399,57.14
AB127452.1.272.undefined.HAM95.399,399,AB127452.1.272.undefined.HAM95.399,57.39
AB127453.1.273.undefined.HAM98.399,399,AB127453.1.273.undefined.HAM98.399,57.39
AB127454.1.274.undefined.HAM99.399,399,AB127454.1.274.undefined.HAM99.399,57.39
AB127455.1.275.undefined.HAM100.399,399,AB127455.1.275.undefined.HAM100.399,57.39
AB127456.1.276.undefined.HAM101.399,399,AB127456.1.276.undefined.HAM101.399,57.39
AB127457.1.277.undefined.HAM102.399,399,AB127457.1.277.undefined.HAM102.399,57.39
AB127458.1.278.undefined.HAM105.399,399,AB127458.1.278.undefined.HAM105.399,57.14
AB127459.1.279.undefined.HAM117.399,399,AB127459.1.279.undefined.HAM117.399,57.39
AB127460.1.280.undefined.HAM125.399,399,AB127460.1.280.undefined.HAM125.399,57.39
AB127461.1.281.undefined.HAM132.399,399,AB127461.1.281.undefined.HAM132.399,57.39
AB127462.1.282.undefined.HAM136.399,399,AB127462.1.282.undefined.HAM136.399,57.39
AB127463.1.283.undefined.HAM137.399,399,AB127463.1.283.undefined.HAM137.399,57.39
AB127464.1.284.undefined.HAM138.399,399,AB127464.1.284.undefined.HAM138.399,57.39
AB127465.1.285.undefined.HAM139.399,399,AB127465.1.285.undefined.HAM139.399,56.89
AB127466.1.286.undefined.HAM142.399,399,AB127466.1.286.undefined.HAM142.399,57.39
AB127467.1.287.undefined.HAM143.399,399,AB127467.1.287.undefined.HAM143.399,57.14
AB127468.1.288.undefined.HAM144.399,399,AB127468.1.288.undefined.HAM144.399,57.39
AB127469.1.289.undefined.HAM146.399,399,AB127469.1.289.undefined.HAM146.399,57.14
AB127470.1.290.undefined.HAM147.399,399,AB127470.1.290.undefined.HAM147.399,57.14
AB127471.1.291.undefined.HAM149.399,399,AB127471.1.291.undefined.HAM149.399,57.14
AB127472.1.292.undefined.HAM150.399,399,AB127472.1.292.undefined.HAM150.399,57.39
